Title,Floor,Room No,Remark,Zone,Building,Facility Type,PageType,Modified,Modified By,Item Type,Path
Tourist display,GF,Zone Veranda,"เวลาเปิดให้บริการ: 10.00-22.00
ตู้Tourlist บริการลูกค้า
นักท่องเที่ยวต่างชาติแบบ self-service เป็นจุดให้ข้อมูลและปล่อยสัญญาณ wifi ทั้งหมด 5 ตู้",,ICONSIAM,Tourlist Kiosk,Facility,19/12/2023 19:16,Paradon Pangto,Item,sites/kmc-prod/Lists/Facility
Tourist display,GF,ประตู5,"เวลาเปิดให้บริการ: 10.00-22.00
ตู้Tourlist บริการลูกค้า
นักท่องเที่ยวต่างชาติแบบ self-service เป็นจุดให้ข้อมูลและปล่อยสัญญาณ wifi ทั้งหมด 5 ตู้",,ICONSIAM,Tourlist Kiosk,Facility,19/12/2023 19:16,Paradon Pangto,Item,sites/kmc-prod/Lists/Facility
Tourist display,GF,ประตู7,"เวลาเปิดให้บริการ: 10.00-22.00
ตู้Tourlist บริการลูกค้า
นักท่องเที่ยวต่างชาติแบบ self-service เป็นจุดให้ข้อมูลและปล่อยสัญญาณ wifi ทั้งหมด 5 ตู้",,ICONSIAM,Tourlist Kiosk,Facility,19/12/2023 19:16,Paradon Pangto,Item,sites/kmc-prod/Lists/Facility
Tourist display,3F,Zone A,"เวลาเปิดให้บริการ: 10.00-22.00
ตู้Tourlist บริการลูกค้า
นักท่องเที่ยวต่างชาติแบบ self-service เป็นจุดให้ข้อมูลและปล่อยสัญญาณ wifi ทั้งหมด 5 ตู้",,ICONSIAM,Tourlist Kiosk,Facility,19/12/2023 19:15,Paradon Pangto,Item,sites/kmc-prod/Lists/Facility
Tourist display,1F,Zone A,"เวลาเปิดให้บริการ: 10.00-22.00
ตู้Tourlist บริการลูกค้า
นักท่องเที่ยวต่างชาติแบบ self-service เป็นจุดให้ข้อมูลและปล่อยสัญญาณ wifi ทั้งหมด 5 ตู้",,ICONSIAM,Tourlist Kiosk,Facility,19/12/2023 19:15,Paradon Pangto,Item,sites/kmc-prod/Lists/Facility
ห้องให้นมบุตร,6F,zone D,เวลาเปิดให้บริการ:  10.00-22.00,,ICONSIAM,ห้องให้นมบุตร,Facility,27/11/2023 03:08,kmc-prod,Item,sites/kmc-prod/Lists/Facility
charge spot,1F,1.ชั้น 1 เคาเตอร์ประชาสัมพันธ์หน้า STK 2.ชั้น 1 LOBBY C  3.ชั้น 2 LOBBY C  4.ชั้น 3 LOBBY C 5.ชั้น5 LOBBY A  6.ชั้น6 LOBBY C  7.ชั้น 6 LOBBY D,เวลาเปิดให้บริการ:  10.00-22.00,,ICONSIAM,บริการยืมแบตเตอร์รี่สำรอง,Facility,27/11/2023 03:08,kmc-prod,Item,sites/kmc-prod/Lists/Facility
VFS,GF,หน้าประตู10,• ให้บริการ ทุกวันอังคารและศุกร์ 10.00-16.00 น.,,ICONSIAM,• จุดบริการ VFS ต่อ VISA ไปประเทศอังกฤษ บริเวณชั้น G หน้าประตู10<br>• ให้บริการ ทุกวันอังคารและศุกร์ 10.00-16.00 น.,Facility,27/11/2023 03:08,kmc-prod,Item,sites/kmc-prod/Lists/Facility
Child restroom,5F,"education zone A,B",เวลาเปิดให้บริการ:  10.00-22.00,,ICONSIAM,ห้องน้ำเด็ก,Facility,27/11/2023 03:08,kmc-prod,Item,sites/kmc-prod/Lists/Facility
ห้องให้นมบุตร,MF,ห้อง Icon-luxe,เวลาเปิดให้บริการ:  10.00-22.00,,ICONSIAM,ห้องให้นมบุตร,Facility,27/11/2023 03:08,kmc-prod,Item,sites/kmc-prod/Lists/Facility
ห้องให้นมบุตร,5F,Zone A,เวลาเปิดให้บริการ:  10.00-22.00,,ICONSIAM,ห้องให้นมบุตร,Facility,27/11/2023 03:08,kmc-prod,Item,sites/kmc-prod/Lists/Facility
ห้องให้นมบุตร,5F,Zone B,เวลาเปิดให้บริการ:  10.00-22.00,,ICONSIAM,ห้องให้นมบุตร,Facility,27/11/2023 03:08,kmc-prod,Item,sites/kmc-prod/Lists/Facility
ห้องให้นมบุตร,6F,zone A,เวลาเปิดให้บริการ:  10.00-22.00,,ICONSIAM,ห้องให้นมบุตร,Facility,27/11/2023 03:08,kmc-prod,Item,sites/kmc-prod/Lists/Facility
Directory display,1F,zone icon-luxe Lobby A B C D,"เวลาเปิดให้บริการ: 10:00 น. – 22:00 น. 
จอ Directory ลูกค้าสามารถใช้ในการหาร้านต่างๆ และ ข้อมูลในการให้บริการท้ังหมดในศูนย์การค้าแบบ self-service",,ICONSIAM,Directory display,Facility,27/11/2023 03:08,kmc-prod,Item,sites/kmc-prod/Lists/Facility
ห้องให้นมบุตร,B1,Lobby icon-luxe2,เวลาเปิดให้บริการ:  10.00-22.00,,ICONSIAM,ห้องให้นมบุตร,Facility,27/11/2023 03:08,kmc-prod,Item,sites/kmc-prod/Lists/Facility
kid-playground,5F,icon-education,"ให้บริการสนามเด็กเล่น 10.00-20.00 และ รถไฟ เวลาทำความสะอาด สามรอบ 13.00-13.30,16.00-16.30 และ 19.00-19.30",,ICONSIAM,kid-playground,Facility,27/11/2023 03:08,kmc-prod,Item,sites/kmc-prod/Lists/Facility
